frame,time_s,animal,action,speed_px,body_length_px,speed_norm_body
0,0.0,animal1,stand,0.0,255.65468959614256,0.0
1,0.03333333333333333,animal0,stand,0.0,252.2576962403724,0.0
2,0.06666666666666667,animal0,walk,5.65335329184218,252.21150120691354,0.022415128829530204
3,0.1,animal0,stand,3.9850480278947864,252.17165169581392,0.015802918373639452
4,0.13333333333333333,animal0,walk,5.457481165930725,252.6120687560317,0.021604198060708905
5,0.16666666666666666,animal1,run,276.76042463040403,244.86237645417606,1.1302692910121186
5,0.16666666666666666,animal0,walk,5.629367398154896,252.85387128656592,0.022263322960062518
6,0.2,animal0,walk,6.611731415462127,253.27421920776007,0.026105031282471523
7,0.23333333333333334,animal0,walk,5.875109111004649,253.3791779527441,0.023187024121217936
8,0.26666666666666666,animal0,walk,7.2823578008194705,253.29332482591872,0.02875068976185783
9,0.3,animal0,walk,6.034902758694131,253.1065035858824,0.023843333431558422
10,0.3333333333333333,animal1,run,191.01676222556674,237.63571948153265,0.8038217598024492
10,0.3333333333333333,animal0,walk,5.613430904074829,253.7669166019906,0.022120420499410348
11,0.36666666666666664,animal0,walk,5.194832823349439,253.78186381577981,0.020469677167791498
12,0.4,animal0,walk,5.428814975326285,254.53177613089053,0.021328633531927144
13,0.43333333333333335,animal0,stand,4.494226082031502,253.8361080812684,0.017705227660489604
14,0.4666666666666667,animal0,walk,7.599417436455897,254.07507032894532,0.029910126273377004
15,0.5,animal0,walk,7.778631358961384,254.91653323491815,0.030514424703057576
16,0.5333333333333333,animal1,run,166.16640819696337,229.00622675888584,0.7255977732514465
16,0.5333333333333333,animal0,walk,11.427663306876854,255.89207520593786,0.04465813682459706
17,0.5666666666666667,animal0,walk,12.236543328198055,255.95835930971722,0.04780677357519499
18,0.6,animal1,run,150.65861724244402,229.00622675888587,0.6578800034161001
18,0.6,animal0,walk,14.610784368180058,256.5143489080584,0.05695893594403544
19,0.6333333333333333,animal0,walk,12.101640120014935,256.5745274047528,0.047166179130963735
20,0.6666666666666666,animal1,run,151.9025085660732,225.1474217565415,0.6746802045565055
20,0.6666666666666666,animal0,walk,13.913452618592334,256.96824501346725,0.054144638057761395
21,0.7,animal1,run,41.338720447944226,225.14742175654152,0.18360734546916105
21,0.7,animal0,walk,9.77728098306527,257.42259460144203,0.03798144058878388
22,0.7333333333333333,animal1,run,40.30674920071456,225.14742175654155,0.17902380976096374
22,0.7333333333333333,animal0,walk,7.65363956764956,258.0856513230111,0.029655424578681935
23,0.7666666666666667,animal0,walk,6.133589560972721,257.7690840638938,0.02379489993242314
24,0.8,animal0,walk,6.138211416832214,258.24349277475824,0.023769084559997045
25,0.8333333333333334,animal0,walk,5.36065093291887,257.7893818994345,0.020794692525427982
26,0.8666666666666667,animal1,run,35.72527231209945,209.72570972745777,0.17034283664375277
26,0.8666666666666667,animal0,walk,5.770762870759563,257.46099798421415,0.022414124531255755
27,0.9,animal1,run,117.9033788364936,214.393645924231,0.5499387742030466
28,0.9333333333333333,animal0,walk,7.947612599519149,258.5274071091596,0.030741857075769846
29,0.9666666666666667,animal0,walk,9.590595795898633,258.2016328381675,0.03714382318375853
30,1.0,animal0,walk,9.202822326844126,259.3033648677499,0.03549056269106942
31,1.0333333333333334,animal1,run,224.66936382678145,214.393645924231,1.0479292091808634
31,1.0333333333333334,animal0,walk,10.65219283867619,260.43656762199066,0.04090129483712618
32,1.0666666666666667,animal1,run,225.3951554862771,214.393645924231,1.0513145318025616
32,1.0666666666666667,animal0,walk,11.257610856710167,260.3872163603629,0.04323411500021643
33,1.1,animal1,run,222.52123925032828,214.393645924231,1.0379096744731402
33,1.1,animal0,walk,8.864110064613453,260.24904257386544,0.0340601063387105
34,1.1333333333333333,animal0,walk,6.973100221546848,260.87997799679096,0.02672915060439258
35,1.1666666666666667,animal1,run,213.12097296026286,199.26087665188751,1.069557539549468
35,1.1666666666666667,animal0,walk,9.98425503358813,261.6588396109999,0.03815753004343906
36,1.2,animal0,walk,8.945693845522593,262.1923532466857,0.03411882053290077
37,1.2333333333333334,animal0,walk,8.728626921837034,261.88257565466756,0.03333030805893352
38,1.2666666666666666,animal0,walk,12.151616457831738,262.0953035111505,0.04636335064017949
39,1.3,animal0,walk,11.765947598384788,261.5457105187647,0.04498619983117879
40,1.3333333333333333,animal0,walk,10.699915358672339,261.38267941599054,0.040935823990247734
41,1.3666666666666667,animal0,walk,11.211328551864217,261.22759263307563,0.042917857332214614
42,1.4,animal0,walk,12.703975386999549,261.25349102868586,0.048627007191282434
43,1.4333333333333333,animal0,walk,13.31425961621665,261.5958204755598,0.05089630098834307
44,1.4666666666666666,animal0,walk,12.588291792525515,261.9482913050238,0.04805639971847409
45,1.5,animal1,run,125.52626243526743,188.61651245947039,0.665510462464098
45,1.5,animal0,walk,12.09552089337583,261.70451285170986,0.046218235832369996
46,1.5333333333333334,animal1,run,124.94951944047884,197.41382515169016,0.6329319607908377
47,1.5666666666666667,animal0,walk,11.665500335588694,263.41154183735966,0.044286215608545426
48,1.6,animal0,walk,10.626951294633667,264.1270599476254,0.0402342391451331
49,1.6333333333333333,animal0,walk,9.070207375241832,264.5188750923204,0.03428945239569848
50,1.6666666666666667,animal0,walk,10.58369690719764,266.7309734272214,0.03967929472609766
51,1.7,animal0,walk,11.013379917618545,267.32731497427625,0.041198109211841354
52,1.7333333333333334,animal1,run,222.3508604885566,194.29367583584803,1.144406062276639
52,1.7333333333333334,animal0,walk,9.844798618888992,267.41087108811206,0.03681525204577463
